РАЗДЕЛ	Метки	Номер	Автор	Название	Комментарий	Серия/цикл	Номер в серии	Папка	Файл
Социально-гуманитарная литература	соц. политика	1196		СЛОВАРЬ по политологии / под ред. В.Н. Коновалова				hum	словарь по политологии#00JI.zip
Социально-гуманитарная литература	соц. политика	1197		Современные международные отношения	С 56 Современные международные отношения. Учебник / Под. ред. А.В.Торкунова. М.: <Российская политическая энциклопедия> (РОССПЭН), 1999. 584с.			hum	современные международные отношения#00JJ.zip
Социально-гуманитарная литература	соц. политика	1198		Создание электронного государства как институциональная реформа	Создание электронного государства как институциональная реформа. М., 2005. 28 с			hum	создание электронного государства как институциональная реформа#00JK.zip
Социально-гуманитарная литература	соц. политика	1199		Сумерки глобализации: Настольная книга антиглобалиста	Сумерки глобализации: Настольная книга антиглобалиста: С89 Сб. - М.: ООО <Издательство ACT: ЗАО НПП <Ермак>, 2004. - 348, [4] с. - (Великие противостояния).	Великие противостояния		hum	сумерки глобализации - настольная книга антиглобалиста#00JL.zip
Социально-гуманитарная литература	соц. политика	1200		УКРАИНСКАЯ ГОСУДАРСТВЕННОСТЬ В ХХ ВЕКЕ (Историко-политологический анализ)				hum	украинская государственность в хх веке (историко-политологический анализ)#00JM.zip
Социально-гуманитарная литература	соц. политика	1201		Учебник по геополитике				hum	учебник по геополитике#00JN.zip
Социально-гуманитарная литература	соц. политика	1202		Человеческий потенциал России	E:\bon\mylib\files1\1Человеческий потенциал России.lnk			hum	человеческий потенциал россии#00JO.zip
Социально-гуманитарная литература	соц. политика	1203		ЭКОНОМИКА РОССИИ В XXI ВЕКЕ: III. ГОСУДАРСТВЕННАЯ ВЛАСТЬ И БИЗНЕС		экономика россии в xxi веке. 		hum	iii. государственная власть и бизнес#00JP.zip
Социально-гуманитарная литература	соц. политика	1204	Абакумов С.А.	Гражданского общество в России. (от древней Руси до наших дней)	Абакумов С.А. Авторская серия <На пути к гражданскому обществу>. Гражданского общество в России. (от древней Руси до наших дней) Абакумов С.А. М.: <Имидж-Пресс>, 2004. ... с.	На пути к гражданскому обществу		hum	абакумов с.а._гражданского общество в россии. (от древней руси до наших дней)#00JQ.zip
Социально-гуманитарная литература	соц. политика	1205	Алексеева Т.А.	Современные политические теории.: курс лекций	А 47 Алексеева Т.А. Современные политические теории. М.: <Российская политическая энциклопедия> (РОССПЭН), 2000. 479 с. ISBN 5-9228-0008-6, ISBN 5-			hum	алексеева т.а._современные политические теории#00JR.zip
